property_id,price,bedrooms,bathrooms,sqft,lot_size,year_built,latitude,longitude,property_type,listing_date,days_on_market,garage_spaces,hoa_fee,school_rating,crime_score,walkability_score,nearby_amenities,age,price_per_sqft,month,year,neighborhood_score,city,distance_to_center
PROP_00000043,455049.0,6,5.9,2247,4062,1968,36.46106334873065,-119.74837309507141,single_family,2025-02-13,45,4,0.0,5,6,1,"gym,shopping,mountain,metro,park",55,202.51401869158877,2,2025,4.0,Other,50.0
PROP_00000202,2894486.0,2,1.9,2194,16579,2004,37.85820959664665,-122.8478390166685,condo,2024-06-10,35,4,429.0,8,1,1,"beach,shopping,metro",19,1319.2734731084777,6,2024,3.3333333333333335,Other,50.0
PROP_00000209,328193.0,3,4.0,1094,5822,1962,33.582588464688406,-84.3930407378988,single_family,2023-09-13,11,2,0.0,1,9,8,"beach,shopping",61,299.99360146252286,9,2023,6.0,Other,50.0
PROP_00000262,132594.0,6,8.0,1866,11341,2004,42.28029278066943,-83.04683056357166,single_family,2024-10-25,36,0,0.0,7,9,4,downtown,19,71.05787781350482,10,2024,6.666666666666667,Other,50.0
PROP_00000343,166605.0,5,6.3,1821,16683,1996,40.325605896964625,-83.42637355135601,condo,2023-06-12,44,0,359.0,4,6,8,"gym,beach",27,91.49093904448105,6,2023,6.0,Other,50.0
PROP_00000502,1130103.0,2,2.1,4008,12186,2018,39.072191604566136,-121.20343685649128,townhouse,2023-06-02,39,4,175.0,3,8,2,school,5,281.96182634730536,6,2023,4.333333333333333,Other,50.0
PROP_00000530,179035.0,1,1.5,1241,14817,2007,33.174920298727706,-97.64555039599374,single_family,2025-03-26,53,1,0.0,6,2,2,"library,restaurant,gym",16,144.26672038678484,3,2025,3.3333333333333335,Other,50.0
PROP_00000618,514536.0,5,7.5,5749,0,1963,30.58183235783354,-81.88419998731027,single_family,2025-04-13,27,0,0.0,1,3,4,"mountain,library,hospital,shopping",60,89.50008697164725,4,2025,2.6666666666666665,Other,50.0
PROP_00000652,176216.0,5,2.0,4929,0,1999,41.981161887632865,-83.52853903705196,condo,2025-01-07,25,3,327.0,3,8,2,shopping,24,35.750862243862855,1,2025,4.333333333333333,Other,50.0
PROP_00000721,6002506.0,3,3.4,5829,1693,1987,37.401012633398025,-122.0316190043301,townhouse,2024-10-18,47,0,780.0,4,3,7,school,36,1029.7659975982158,10,2024,4.666666666666667,Other,50.0
PROP_00000724,67339.0,6,4.9,748,4944,2004,41.08167399886265,-81.84094770305249,condo,2023-05-27,32,3,411.0,5,8,7,"library,beach,gym,airport,mountain",19,90.02540106951872,5,2023,6.666666666666667,Other,50.0
PROP_00000842,964558.0,5,6.8,4871,0,1978,33.46035980537592,-83.92268037573814,multi_family,2024-03-09,26,0,0.0,2,3,9,"beach,shopping,gym",45,198.02052966536647,3,2024,4.666666666666667,Other,50.0
PROP_00000939,293634.0,4,2.2,2859,0,1984,29.530203614083415,-98.6872233346832,single_family,2023-11-05,20,1,0.0,4,3,6,"library,downtown,school,metro",39,102.70514165792235,11,2023,4.333333333333333,Other,50.0
PROP_00001051,548279.0,4,2.4,3063,0,1992,35.765360961553775,-87.19704898066509,condo,2024-06-21,14,0,674.0,3,5,10,"shopping,gym,beach",31,179.00065295461965,6,2024,6.0,Other,50.0
PROP_00001125,434688.0,3,3.3,5467,0,1952,38.549214622019136,-85.85970441494207,condo,2024-02-03,36,0,538.0,9,1,10,"airport,beach,library,downtown",71,79.51124931406622,2,2024,6.666666666666667,Other,50.0
PROP_00001127,1187127.0,3,4.2,2860,1547,2012,45.66628857175499,-122.24852237120642,single_family,2023-08-04,50,3,0.0,10,10,2,"mountain,downtown,school,shopping,restaurant",11,415.07937062937066,8,2023,7.333333333333333,Other,50.0
PROP_00001128,5237029.0,2,1.3,4361,0,2020,38.24680831448586,-122.40331828458078,condo,2023-07-30,17,3,755.0,6,2,2,"mountain,airport",3,1200.8780096308187,7,2023,3.3333333333333335,Other,50.0
PROP_00001183,2429726.0,6,3.8,2181,0,2007,37.53999610024133,-121.3875414143215,condo,2025-05-11,31,0,394.0,8,5,7,"gym,airport",16,1114.0421824850987,5,2025,6.666666666666667,Other,50.0
PROP_00001195,900434.0,5,7.0,4410,17805,1995,38.97716268980015,-121.64071263155937,apartment,2023-07-04,49,0,0.0,8,7,1,"airport,park,school",28,204.18004535147392,7,2023,5.333333333333333,Other,50.0
PROP_00001224,6850180.0,2,2.0,4647,4949,2002,37.92003523329951,-122.20137331795515,single_family,2023-07-21,1,3,0.0,5,5,8,"mountain,gym,library,downtown",21,1474.1080266838821,7,2023,6.0,Other,50.0
PROP_00001259,271282.0,1,1.2,675,5162,1975,40.030278186624805,-75.32348720138638,townhouse,2024-06-08,47,4,374.0,3,9,5,airport,48,401.8992592592593,6,2024,5.666666666666667,Other,50.0
PROP_00001334,1660023.0,4,5.8,3993,14583,1951,47.755524523379556,-122.54597255061412,apartment,2024-04-08,1,1,0.0,10,9,4,hospital,72,415.73328324567996,4,2024,7.666666666666667,Other,50.0
PROP_00001548,663170.0,1,1.1,2157,10025,2001,39.07102048201092,-121.18538825716952,townhouse,2025-01-12,49,1,346.0,4,9,5,"mountain,beach,gym,school,park",22,307.4501622624015,1,2025,6.0,Other,50.0
PROP_00001657,519093.0,5,1.9,2183,14655,1953,39.51324947673371,-76.72312195785297,condo,2025-04-30,19,0,159.0,6,4,9,"downtown,mountain,hospital",70,237.78882272102612,4,2025,6.333333333333333,Other,50.0
PROP_00001718,261778.0,2,1.2,5473,18350,2019,42.47493206141819,-82.82245970656322,single_family,2024-06-20,9,3,0.0,2,9,7,"metro,school,library,airport",4,47.830805773798645,6,2024,6.0,Other,50.0
PROP_00001722,1257301.0,2,2.9,1705,0,1971,42.82483208399051,-71.03449555889844,single_family,2023-08-21,40,1,0.0,1,5,8,"park,gym,hospital",52,737.4199413489736,8,2023,4.666666666666667,Other,50.0
PROP_00002005,333849.0,5,1.8,3515,13796,2013,34.972001688945376,-97.83259820487945,single_family,2023-12-31,36,2,0.0,10,3,10,"school,airport",10,94.97837837837838,12,2023,7.666666666666667,Other,50.0
PROP_00002082,115291.0,5,6.6,1301,0,1953,43.28078431357901,-78.85563347752105,townhouse,2023-09-27,47,1,684.0,3,10,2,shopping,70,88.61721752498079,9,2023,5.0,Other,50.0
PROP_00002083,983158.0,3,2.2,3800,0,1956,25.41264178323374,-80.36369696031974,condo,2024-02-27,41,4,537.0,9,9,9,library,67,258.7257894736842,2,2024,9.0,Other,50.0
PROP_00002143,244415.0,6,6.8,4098,0,2010,39.066839705483076,-90.28240461127933,apartment,2025-03-05,34,0,0.0,5,9,10,"beach,school",13,59.642508540751585,3,2025,8.0,Other,50.0
PROP_00002153,812458.0,5,5.0,1576,0,1956,34.03263112433807,-117.89195062912296,single_family,2024-11-07,34,1,0.0,3,4,1,"gym,shopping",67,515.519035532995,11,2024,2.6666666666666665,Other,50.0
PROP_00002240,311198.0,6,6.0,4775,7037,1951,35.37418508800754,-89.96599121214905,townhouse,2024-12-28,48,0,112.0,6,5,3,shopping,72,65.1723560209424,12,2024,4.666666666666667,Other,50.0
PROP_00002342,4431873.0,1,1.4,3750,15086,2007,38.233060515535804,-122.69105235930152,apartment,2025-04-19,30,4,0.0,10,3,8,"library,gym,airport",16,1181.8328,4,2025,7.0,Other,50.0
PROP_00002593,278213.0,2,1.9,1912,0,2006,42.58236109163542,-87.42109394342606,condo,2023-10-21,32,3,553.0,8,9,7,park,17,145.50889121338912,10,2023,8.0,Other,50.0
PROP_00002625,883695.0,6,3.1,4942,0,1975,40.22890208360263,-104.56274739849454,condo,2024-10-13,36,1,446.0,2,8,2,"metro,restaurant,park,beach,shopping",48,178.81323350870093,10,2024,4.0,Other,50.0
PROP_00002642,614478.0,5,1.4,3757,19264,1986,36.427213392606824,-114.8039515039735,condo,2024-05-14,47,2,163.0,10,3,4,"library,airport",37,163.55549640670748,5,2024,5.666666666666667,Other,50.0
PROP_00002805,121742.0,5,3.9,2895,14399,1990,42.340262212478954,-83.46473683239374,condo,2024-01-02,45,2,704.0,3,8,6,"mountain,downtown,hospital",33,42.05250431778929,1,2024,5.666666666666667,Other,50.0
PROP_00002846,494645.0,4,3.3,5783,13407,1999,34.845967470208286,-89.79903792180167,multi_family,2023-07-19,33,3,0.0,7,10,4,"restaurant,airport,shopping,gym",24,85.53432474494207,7,2023,7.0,Other,50.0
PROP_00002870,205487.0,6,3.8,3410,19148,2018,41.38775518586155,-81.58102185982632,single_family,2023-11-03,46,0,0.0,7,4,3,gym,5,60.260117302052784,11,2023,4.666666666666667,Other,50.0
PROP_00002930,785237.0,2,2.5,5414,13232,1977,35.901748027511815,-78.40537220175575,apartment,2023-10-02,31,2,0.0,2,3,3,school,46,145.0382342076099,10,2023,2.6666666666666665,Other,50.0
PROP_00003063,587785.0,5,3.2,3306,13708,1953,33.83833416213006,-111.79181622244282,multi_family,2025-01-11,33,3,0.0,3,4,2,"park,beach,shopping,library",70,177.79340592861465,1,2025,3.0,Other,50.0
